83049;43.2474;6.1331
57240;49.1440;6.8230
65286;43.0733;-0.0282
59560;50.5468;3.0345
27701;49.2628;1.2135
59527;50.6606;3.0470
66037;42.6841;3.0110
59014;50.3752;3.5109
71014;46.9659;4.3169
49246;47.4268;-0.5428
30351;43.9767;4.7940
62643;50.6982;1.5925
81105;43.7691;2.0056
85226;46.7458;-1.9477
97405;-21.3397;55.5689
02738;49.6403;3.2963
13007;43.3607;5.6586
97402;-21.0233;55.6196
60471;49.5706;3.0378
35024;48.1815;-1.6465
40312;43.5369;-1.4659
23096;46.1634;1.8617
31187;43.5121;1.1587
62108;50.4041;1.5905
37003;47.3914;0.9851
03321;46.5948;3.3913
77333;48.2750;2.7096
53147;48.3036;-0.6947
28088;48.0751;1.3674
77316;48.3335;2.8285
10333;48.2421;4.0112
44132;47.2620;-2.3145
59152;50.7487;3.0053
78029;48.9601;1.8647
37050;47.3315;0.7159
33005;44.7544;-1.0807
45068;48.0454;2.7194
34157;43.4369;3.5994
14047;49.2816;-0.7154
10081;48.3767;3.9888
31561;43.6585;1.4913
33366;44.9990;-0.3983
59386;50.6742;3.0603
83148;43.4013;6.4494
67348;48.4477;7.5083
13081;43.4969;5.2310
95351;49.0485;2.5187
93079;48.9567;2.3451
83130;43.2012;6.0155
50218;48.8339;-1.5330
69027;45.6693;4.7362
95313;49.1074;2.2342
56206;47.7008;-2.7825
29233;47.8874;-3.5077
48095;44.5167;3.5174
07019;44.6053;4.4022
63284;45.8113;3.2486
27284;49.3150;1.7447
60509;49.3126;2.6006
56078;47.7943;-3.4922
72264;47.8158;-0.2997
76484;49.3476;1.0741
42044;45.3891;4.3319
28404;48.7096;1.3675
83042;43.2482;6.5085
44036;47.7086;-1.3600
57160;49.2092;6.6814
62413;50.4521;2.9036
67046;48.7680;7.8609
94060;48.7776;2.5836
78624;48.9781;2.0082
68271;47.7397;7.3656
59491;50.4106;3.4893
57630;48.7426;7.0360
11076;43.3333;1.9782
62186;50.4343;2.7199
31483;43.1295;0.7342
01160;46.2774;6.1007
69069;45.7592;4.6847
12176;44.3602;2.5918
66171;42.6215;3.0163
73179;45.6013;5.8546
68063;47.8078;7.1623
33284;44.6380;-0.9033
06104;43.7639;7.4583
57221;49.3279;6.1231
76057;49.5442;0.9451
13106;43.3934;5.3811
59383;50.3453;3.5488
91573;48.6057;2.5172
84141;43.9709;4.9031
06152;43.6277;7.0295
14341;49.1448;-0.3521
06012;43.7478;7.4218
78674;48.8377;2.0013
77153;49.0376;2.6801
29235;48.4031;-4.4012
21617;47.3390;4.9973
97221;14.5260;-60.9646
59574;50.3590;3.2674
67204;48.6227;7.7565
38485;45.1728;5.6692
49018;47.5403;-0.0975
35210;48.1528;-1.7770
93030;48.9509;2.4240
91021;48.5845;2.2577
30341;43.6360;4.3020
83112;43.1726;5.7086
94075;48.7320;2.5592
38474;45.2140;5.6237
59112;50.3973;3.5380
63430;45.8544;3.5325
13075;43.3665;5.4648
77379;48.5897;3.2433
66172;42.7153;2.8460
91552;48.5987;2.2639
62570;50.3988;2.8677
66141;42.7491;2.9152
91215;48.6886;2.5172
97220;14.5089;-60.8976
44003;47.3951;-1.1469
02173;49.5817;3.1917
62617;50.4750;2.6623
76114;49.5851;0.5010
57433;49.2043;6.1533
97401;-21.2099;55.3585
22215;48.4956;-2.8211
50041;49.6545;-1.8324
44129;47.4266;-2.1009
77487;48.5230;2.6783
67437;48.7358;7.3547
97230;14.7382;-60.9503
59249;50.0220;4.0438
97615;-12.7855;45.2833
76758;49.6137;0.7501
95210;48.9698;2.3041
33051;44.6380;-0.9033
59273;50.9885;2.1477
74133;46.1818;6.2073
87154;45.8915;0.9082
91200;48.4944;1.9962
05023;44.9492;6.6604
33200;44.8696;-0.6844
74224;46.0625;6.3190
87114;45.8411;1.3236
37156;47.3461;0.8600
69273;45.6681;4.9084
83073;43.3885;6.3014
07324;45.0569;4.7787
12300;44.3344;2.0080
31116;43.6972;1.4352
31488;43.6585;1.4913
68112;47.8970;7.2239
07102;44.9303;4.8662
77067;48.5646;2.6000
69271;45.7381;4.9623
2A247;41.6029;9.2627
36088;46.9136;1.9462
97616;-12.8613;45.1184
42184;46.0435;4.0345
21171;47.2975;5.1213
33009;44.6533;-1.1744
92077;48.8215;2.1761
13069;43.6242;5.1890
33519;44.8969;-0.6664
31588;43.5340;1.3349
49125;47.2079;-0.2900
45075;47.8905;1.7891
06084;43.6185;6.9646
78190;48.8786;2.1361
59636;50.6955;3.0476
44204;47.3000;-1.4503
51649;48.7343;4.6063
94055;48.7854;2.5385
81140;43.6943;1.8037
30202;44.2446;4.6125
76410;49.4876;1.0079
97306;4.9917;-53.6455
38317;45.1176;5.7127
57660;49.2014;6.9491
37109;47.4147;0.5475
74298;46.1887;6.2470
59544;50.3752;3.5665
13110;43.4378;5.7001
83098;43.0999;6.0275
69243;45.9115;4.4132
62758;50.7236;1.6472
64430;43.4860;-0.7527
49050;47.3445;-0.3838
57019;49.2415;6.1030
34337;43.5255;3.8585
78138;48.9796;2.0439
74208;45.9541;6.7400
59011;50.5248;2.9344
35069;48.0490;-1.5199
91312;48.7340;2.2126
76216;49.4669;1.0512
67130;48.4189;7.6659
35093;48.6199;-2.0954
51573;49.2303;3.9899
91086;48.6141;2.3801
24053;45.1285;0.8693
72003;47.9648;0.1246
63032;45.7499;3.0874
91216;48.6691;2.3225
62318;50.5511;1.6977
64422;43.1919;-0.6421
33312;44.9496;-0.6188
33238;44.7191;-0.6148
